,Time,betaSIM,Observed_Species,Shannon,Evenness,SolarMax_1,SolarMax_3,SolarMax_30,SolarMax_7,AirTempMax_1,AirTempMax_3,AirTempMax_30,AirTempMax_7,AirTempMin_1,AirTempMin_3,AirTempMin_30,AirTempMin_7,AirTemp_1,AirTemp_3,AirTemp_30,AirTemp_7,Evapo_1,Evapo_3,Evapo_30,Evapo_7,Precip_1,Precip_3,Precip_30,Precip_7,SWC_1,SWC_3,SWC_30,SWC_7,Stemp_1,Stemp_3,Stemp_30,Stemp_7,EMH_m,SEMH_m,LEMH_m,NonAM_m,EMH,SEMH,LEMH,NonAM
GL0,0,NA,651,5.887907838,0.0272424268,0.998,1.052,1.0526,1.0161428571,21.81,22.57,19.857,18.9542857143,7.833,10.911,6.4462333333,7.6748571429,15.538875,17.0401805556,13.5325097222,13.4464821429,0.341375,0.3515277778,0.2945583333,0.2720892857,0,0,0.60325,0.5503333333,0.11825,0.1239861111,0.1037652778,0.1318630952,20.5720833333,21.8486111111,20.0117152778,18.568827381,NA,NA,NA,NA,0.7398561636,0.4106071892,0.3292489744,0.342413183
GL1,1,0.7164869,649,6.063709894,0.0255529765,1.071,1.11,1.1031666667,1.1075714286,33.62,34.5533333333,29.9646666667,34.1257142857,21.83,19.45,14.6352666667,19.5985714286,27.5008333333,27.3405555556,22.6697680556,27.1092261905,0.4474166667,0.4409027778,0.4145555556,0.4872738095,0,0,0,0,0.0692083333,0.0698055556,0.0786513889,0.0705238095,33.6154166667,33.6643055556,30.2133333333,33.6923214286,0.5352946582,0.2369357573,0.2983589009,0.0993819595,1.8066378429,1.193623007,0.6130148359,0.6619557968
GL2,2,0.6828885,637,6.4702886811,0.0051674371,0.914,0.867,0.9511333333,0.8918571429,30.73,28.7033333333,29.8986666667,29.3985714286,19.74,18.0166666667,18.2063333333,18.9857142857,24.69125,23.4011111111,23.6805277778,23.8555357143,0.2819166667,0.2376666667,0.28185,0.2487380952,0.127,0.1693333333,2.1801666667,0.1693333333,0.1320416667,0.1366944444,0.1421736111,0.1500595238,28.0758333333,27.1743055556,27.3969583333,27.640952381,1.2947570749,0.7433459172,0.5514111577,0.0860134296,1.9579087143,1.4096550167,0.5650774606,0.8391195552
GL3,3,0.7019969,706,7.4006174164,0.1525538458,0.938,0.944,0.9092,0.8592857143,22.37,24.2933333333,30.5436666667,26.1714285714,10.26,12.4566666667,17.973,14.5614285714,16.4920833333,18.0919444444,24.2403611111,19.957797619,0.1620416667,0.1940972222,0.2620111111,0.1896964286,0,0,0.8360833333,0.4868333333,0.1180833333,0.122125,0.0952180556,0.1128333333,22.03,23.3056944444,28.9025138889,24.3724404762,1.4215394818,0.5450796903,0.8764597916,0.5142604016,1.7786248378,1.2936630743,0.4849617634,0.4277272749
GL4,4,0.5837174,1533,8.0448862654,0.1647843811,0.744,0.7446666667,0.7620333333,0.7507142857,22.78,20.5276190476,22.55,22.86,9.13,6.5354761905,8.3645,8.0124285714,15.79875,13.5875555556,15.5601361111,15.5604821429,0.17775,0.1642301587,0.1796138889,0.1887440476,0,0.3069166667,0.3069166667,0,0.1023333333,0.1148313492,0.1178708333,0.1054166667,16.612875,15.5609325397,17.634,17.0952142857,1.8097798552,1.0351248909,0.7746549643,0.4445272631,0.416255079,0.3104958819,0.105759197,0.4091645288
PJ0,0,NA,3637,9.0341122962,0.1736033958,1.039,1.0653333333,1.0485,1.0261428571,19.93,20.3666666667,18.0423333333,16.7342857143,6.822,8.994,4.1568,5.4167142857,13.6355,14.9514166667,11.5784638889,11.2272083333,0.277875,0.2883194444,0.2442041667,0.224577381,0,0,0.7831666667,0.60325,0.1345833333,0.1352083333,0.1315638889,0.137297619,19.72875,19.98125,18.0187527778,17.1036964286,NA,NA,NA,NA,1.2473038303,0.7502445965,0.4970592337,0.7786879293
PJ1,1,0.5029851,670,7.7665100586,0.1964509084,1.098,1.0926666667,1.0915,1.0894285714,30.79,32.1433333333,28.1383333333,31.8985714286,20.32,19.3,12.5988,19.36,25.555,26.1393055556,21.1725986111,25.9748214286,0.38625,0.3663333333,0.3387986111,0.3861428571,0,0,0,0,0.0864166667,0.0871527778,0.1030305556,0.0887857143,31.5454166667,31.6136111111,27.3767361111,31.4683333333,0.055682992,0.0550334651,0.0006495268,0.0241135103,1.2499046071,0.8541767982,0.3957278088,1.2190615592
PJ2,2,0.4832,625,7.0829092986,0.1505800028,0.953,0.8776666667,0.8975666667,0.8991428571,28.69,27.0066666667,27.866,27.4085714286,16.03,15.3933333333,16.0616666667,16.02,21.4966666667,20.8173611111,21.7439722222,21.2618452381,0.2130416667,0.1809027778,0.2167125,0.1890654762,0.1058333333,0.1058333333,3.7674166667,0.47625,0.1664166667,0.1729861111,0.1489333333,0.1782083333,23.27875,22.6988888889,23.9196805556,23.0263690476,NA,NA,NA,NA,3.7439478453,2.6852908312,1.0586570141,1.1315211301
PJ3,3,0.6301616,2228,8.5662314627,0.229112542,0.776,0.834,0.8315666667,0.7758571429,20.01,22.3366666667,28.726,24.5371428571,7.493,10.2176666667,15.7677666667,12.1061428571,13.981375,15.7694861111,22.3585458333,17.8885892857,0.1264166667,0.1499166667,0.2013361111,0.1515238095,0,0.0105833333,0.9101666667,0.6138333333,0.1159166667,0.1173472222,0.1068222222,0.112047619,19.4208333333,20.8136111111,25.3751666667,22.5488095238,0.5675001408,0.3220381126,0.2454620281,0.1380465304,1.2973912942,0.8507054856,0.4466858086,0.7500338685
PJ4,4,0.4622951,610,5.7168322837,0.0224105975,0.734,0.7377142857,0.7619333333,0.7435714286,21.83,19.32,21.248,21.9428571429,4.369,4.970952381,6.7033333333,5.7557142857,12.87075,12.1343412698,13.8956083333,14.1745833333,0.1329166667,0.1366527778,0.1467236111,0.151797619,0,0.53975,0.6773333333,0,0.1368333333,0.1437142857,0.1429972222,0.1385892857,14.5983333333,14.2760396825,16.0011444444,15.6478869048,1.5198007411,0.7820711324,0.7377296087,0.0996857226,1.5408714604,1.1749796965,0.3658917639,0.7375107551
